時間,首次離線時間,IP 位址,設備 ID,設備類型,位置,離線時長(秒)
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.145,Sep-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.29,2195-19,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.12,Feb-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.13,Mar-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.14,Apr-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.17,Jul-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.19,Sep-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.67,Jul-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.64,Jun-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.20,Oct-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.21,Nov-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.22,Dec-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.23,2195-13,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.24,2195-14,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.25,2195-15,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.26,2195-16,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.27,2195-17,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.28,2195-18,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:18,172.21.43.115,3400_16區,EQP,K11-5F 區網(43),2208
2026-06-17 16:54:06,2026-06-17 16:17:18,172.21.43.116,3400_17區,EQP,K11-5F 區網(43),2208
2026-06-17 16:54:06,2026-06-17 16:17:18,172.21.43.117,3400_18區,EQP,K11-5F 區網(43),2208
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.27,Jul-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.66,2400-26,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:27,172.21.44.172,3418-K22,EQP,K11-5F 區網(44),2199
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.65,2400-25,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.53,2400-13,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.23,Mar-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.11,Jan-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.36,2340-701,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.25,May-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.41,Jan-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:03,172.21.37.65,3190-F05,EQP,K11-4F 區網(37),2223
2026-06-17 16:54:06,2026-06-17 16:17:03,172.21.37.66,3190-F05,EQP,K11-4F 區網(37),2223
2026-06-17 16:54:06,2026-06-17 16:17:04,172.25.48.68,2740-K03,EQP,K18-10F 區網(48),2222
2026-06-17 16:54:06,2026-06-17 16:17:04,172.25.48.125,2740-K09,EQP,K18-10F 區網(48),2222
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.77,Oct-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.57,May-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.22.30.59,3400-D05A,EQP,K21-5F 區網(30),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.44,Jan-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.47,Feb-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.48,Feb-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.51,Mar-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.53,Apr-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.55,Apr-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.56,Apr-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.59,May-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:04,172.25.48.126,2740-K09,EQP,K18-10F 區網(48),2222
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.61,Jun-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.63,Jun-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.15,May-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.68,Jul-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.119,Apr-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.124,May-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.120,Apr-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.75,Sep-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.43,Jan-90,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.24,Apr-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.26,Jun-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:03,172.21.37.62,3190-F04,EQP,K11-4F 區網(37),2223
2026-06-17 16:54:06,2026-06-17 16:17:27,172.21.44.115,3450-D01,EQP,K11-5F 區網(44),2199
2026-06-17 16:54:06,2026-06-17 16:17:27,172.21.44.131,FE99-M501,EQP,K11-5F 區網(44),2199
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.55,2400-15,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.57,2400-17,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:24,172.25.50.166,3413-K06,EQP,K18-10F 區網(50),2202
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.95,Feb-00,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.80,2400-40,EQP,K11-7F 區網(60),2196
2026-06-17 16:54:06,2026-06-17 16:17:30,172.21.60.81,2400-41,EQP,K11-7F 區網(60),2196
